ja_prompt,zh_prompt,en_prompt,fr_prompt,ja_prompt_masked,zh_prompt_masked,en_prompt_masked,fr_prompt_masked,ja,zh,en,fr,ja1,zh1,en1,fr1,ar
"""練習""は、技術を向上させるための活動です。答え: ""練習""","""练习""是提高技能的活动。答案: ""练习""","""Practice"" is an activity to improve skills. Answer: ""practice""","""Pratique"" est une activité pour améliorer les compétences. Réponse: ""pratique""","""__""は、技術を向上させるための活動です。答え: ""練習""","""__""是提高技能的活动。答案: ""练习""","""__"" is an activity to improve skills. Answer: ""practice""","""__"" est une activité pour améliorer les compétences. Réponse: ""pratique""",練習,练习,practice,pratique,トレーニング,训练,training,formation,تمرين
"""散歩""は、リラックスするための歩行です。答え: ""散歩""","""散步""是为了放松的行走。答案: ""散步""","""Walk"" is a stroll for relaxation. Answer: ""walk""","""Marche"" est une promenade pour la détente. Réponse: ""marche""","""__""は、リラックスするための歩行です。答え: ""散歩""","""__""是为了放松的行走。答案: ""散步""","""__"" is a stroll for relaxation. Answer: ""walk""","""__"" est une promenade pour la détente. Réponse: ""marche""",散歩,散步,walk,marche,ウォーキング,步行,promenade,balade,مشي
"""地図""は、場所を示す図です。答え: ""地図""","""地图""是显示位置的图。答案: ""地图""","""Map"" is a diagram showing locations. Answer: ""map""","""Carte"" est un diagramme montrant des emplacements. Réponse: ""carte""","""__""は、場所を示す図です。答え: ""地図""","""__""是显示位置的图。答案: ""地图""","""__"" is a diagram showing locations. Answer: ""map""","""__"" est un diagramme montrant des emplacements. Réponse: ""carte""",地図,地图,map,carte,マップ,示意图,chart,plan,خريطة
"""弁当""は、持ち運び可能な食事です。答え: ""弁当""","""便当""是可携带的餐食。答案: ""便当""","""Lunch box"" is a portable meal. Answer: ""lunch box""","""Boîte à lunch"" est un repas portable. Réponse: ""boîte à lunch""","""__""は、持ち運び可能な食事です。答え: ""弁当""","""__""是可携带的餐食。答案: ""便当""","""__"" is a portable meal. Answer: ""lunch box""","""__"" est un repas portable. Réponse: ""boîte à lunch""",弁当,便当,lunch box,bento,ピクニック,餐包,picnic,snack,صندوق غداء
"""天気""は、特定の時間と場所の気象条件です。答え: ""天気""","""天气""是特定时间和地点的气象条件。答案: ""天气""","""Weather"" is the atmospheric conditions at a specific time and place. Answer: ""weather""","""Météo"" est les conditions atmosphériques à un moment et un lieu spécifiques. Réponse: ""météo""","""__""は、特定の時間と場所の気象条件です。答え: ""天気""","""__""是特定时间和地点的气象条件。答案: ""天气""","""__"" is the atmospheric conditions at a specific time and place. Answer: ""weather""","""__"" est les conditions atmosphériques à un moment et un lieu spécifiques. Réponse: ""météo""",天気,天气,weather,météo,気象,气象,climate,climat,طقس
"""漢字""は、中国の文字です。答え: ""漢字""","""汉字""是中国的文字。答案: ""汉字""","""Chinese character"" is a logogram used in Chinese writing. Answer: ""Chinese character""","""Caractère chinois"" est un logogramme utilisé dans l'écriture chinoise. Réponse: ""caractère chinois""","""__""は、中国の文字です。答え: ""漢字""","""__""是中国的文字。答案: ""汉字""","""__"" is a logogram used in Chinese writing. Answer: ""Chinese character""","""__"" est un logogramme utilisé dans l'écriture chinoise. Réponse: ""caractère chinois""",漢字,汉字,Chinese character,caractère chinois,中国語,汉语,character,sinogramme,الحروف الصينية
"""醤油""は、調味料です。答え: ""醤油""","""酱油""是一种调味品。答案: ""酱油""","""Soy sauce"" is a condiment. Answer: ""soy sauce""","""Sauce soja"" est un condiment. Réponse: ""sauce soja""","""__""は、調味料です。答え: ""醤油""","""__""是一种调味品。答案: ""酱油""","""__"" is a condiment. Answer: ""soy sauce""","""__"" est un condiment. Réponse: ""sauce soja""",醤油,酱油,soy sauce,sauce soja,スパイス,调味品,ketchup,sauce,صلصة الصويا
"""毎晩""は、毎日の夜を指します。答え: ""毎晩""","""每晚""指每天的夜晚。答案: ""每晚""","""Every night"" refers to each evening. Answer: ""every night""","""Chaque nuit"" désigne chaque soirée. Réponse: ""chaque nuit""","""__""は、毎日の夜を指します。答え: ""毎晩""","""__""指每天的夜晚。答案: ""每晚""","""__"" refers to each evening. Answer: ""every night""","""__"" désigne chaque soirée. Réponse: ""chaque nuit""",毎晩,每晚,every night,chaque nuit,夜,晚上,evening,soirée,كل ليلة
"""毎週""は、毎週のことを指します。答え: ""毎週""","""每周""指每个星期。答案: ""每周""","""Every week"" refers to each week. Answer: ""every week""","""Chaque semaine"" désigne chaque semaine. Réponse: ""chaque semaine""","""__""は、毎週のことを指します。答え: ""毎週""","""__""指每个星期。答案: ""每周""","""__"" refers to each week. Answer: ""every week""","""__"" désigne chaque semaine. Réponse: ""chaque semaine""",毎週,每周,every week,chaque semaine,週間,星期,week,semaine,كل أسبوع
"""今晩""は、今日の夜です。答え: ""今晩""","""今晚""是今天的晚上。答案: ""今晚""","""Tonight"" is this evening. Answer: ""tonight""","""Ce soir"" est ce soir. Réponse: ""ce soir""","""__""は、今日の夜です。答え: ""今晩""","""__""是今天的晚上。答案: ""今晚""","""__"" is this evening. Answer: ""tonight""","""__"" est ce soir. Réponse: ""ce soir""",今晩,今晚,tonight,ce soir,今晩,今夜,this evening,nuit,الليلة
"""紅茶""は、発酵させた茶です。答え: ""紅茶""","""红茶""是发酵过的茶。答案: ""红茶""","""Red tea"" is fermented tea. Answer: ""red tea""","""Thé noir"" est du thé fermenté. Réponse: ""thé noir""","""__""は、発酵させた茶です。答え: ""紅茶""","""__""是发酵过的茶。答案: ""红茶""","""__"" is fermented tea. Answer: ""red tea""","""__"" est du thé fermenté. Réponse: ""thé noir""",紅茶,红茶,red tea,thé noir,発酵茶,熟茶,kombucha,thé vert,شاي أحمر
"""鉛筆""は、書くための道具です。答え: ""鉛筆""","""铅笔""是用来写字的工具。答案: ""铅笔""","""Pencil"" is a tool for writing. Answer: ""pencil""","""Crayon"" est un outil pour écrire. Réponse: ""crayon""","""__""は、書くための道具です。答え: ""鉛筆""","""__""是用来写字的工具。答案: ""铅笔""","""__"" is a tool for writing. Answer: ""pencil""","""__"" est un outil pour écrire. Réponse: ""crayon""",鉛筆,铅笔,pencil,crayon,ペン,笔,pen,plume,قلم رصاص
"""説明""は、何かを明らかにすることです。答え: ""説明""","""说明""是为了让事情变得清楚。答案: ""说明""","""Explanation"" is to make something clear. Answer: ""explanation""","""Explication"" est de rendre quelque chose clair. Réponse: ""explication""","""__""は、何かを明らかにすることです。答え: ""説明""","""__""是为了让事情变得清楚。答案: ""说明""","""__"" is to make something clear. Answer: ""explanation""","""__"" est de rendre quelque chose clair. Réponse: ""explication""",説明,说明,explanation,explication,開示,解释,explain,exposé,تفسير
"""最後""は、一連の終わりです。答え: ""最後""","""最后""是一系列的结束。答案: ""最后""","""Last"" is the end of a series. Answer: ""last""","""Dernier"" est la fin d'une série. Réponse: ""dernier""","""__""は、一連の終わりです。答え: ""最後""","""__""是一系列的结束。答案: ""最后""","""__"" is the end of a series. Answer: ""last""","""__"" est la fin d'une série. Réponse: ""dernier""",最後,最后,last,dernier,終了,结束,final,finale,أخير
"""時代""は、特定の歴史の期間です。答え: ""時代""","""时代""是特定历史时期。答案: ""时代""","""Era"" is a specific period in history. Answer: ""era""","""ère"" est une période spécifique de l'histoire. Réponse: ""ère""","""__""は、特定の歴史の期間です。答え: ""時代""","""__""是特定历史时期。答案: ""时代""","""__"" is a specific period in history. Answer: ""era""","""__"" est une période spécifique de l'histoire. Réponse: ""ère""",時代,时代,era,ère,中世,时期,period,époque,عصر
"""経験""は、何かを体験することです。答え: ""経験""","""经验""是对某事的体验。答案: ""经验""","""Experience"" is the act of living through something. Answer: ""experience""","""Expérience"" est l'acte de vivre quelque chose. Réponse: ""expérience""","""__""は、何かを体験することです。答え: ""経験""","""__""是对某事的体验。答案: ""经验""","""__"" is the act of living through something. Answer: ""experience""","""__"" est l'acte de vivre quelque chose. Réponse: ""expérience""",経験,经验,experience,expérience,体験,体验,survival,vivre,تجربة
"""運動""は、体を動かす活動です。答え: ""運動""","""运动""是移动身体的活动。答案: ""运动""","""Exercise"" is an activity to move the body. Answer: ""exercise""","""Exercice"" est une activité pour bouger le corps. Réponse: ""exercice""","""__""は、体を動かす活動です。答え: ""運動""","""__""是移动身体的活动。答案: ""运动""","""__"" is an activity to move the body. Answer: ""exercise""","""__"" est une activité pour bouger le corps. Réponse: ""exercice""",運動,运动,exercise,exercice,活動,动作,sport,activité,ممارسة
"""特別""は、普通とは違うことです。答え: ""特別""","""特别""是与众不同的事物。答案: ""特别""","""Special"" is something different from the ordinary. Answer: ""special""","""Spécial"" est quelque chose de différent de l'ordinaire. Réponse: ""spécial""","""__""は、普通とは違うことです。答え: ""特別""","""__""是与众不同的事物。答案: ""特别""","""__"" is something different from the ordinary. Answer: ""special""","""__"" est quelque chose de différent de l'ordinaire. Réponse: ""spécial""",特別,特别,special,spécial,例外,特色,novelty,exceptionnel,خاص
"""失敗""は、目的を達成できないことです。答え: ""失敗""","""失败""是未能达成目标。答案: ""失败""","""Failure"" is the inability to achieve a goal. Answer: ""failure""","""échec"" est l'incapacité à atteindre un objectif. Réponse: ""échec""","""__""は、目的を達成できないことです。答え: ""失敗""","""__""是未能达成目标。答案: ""失败""","""__"" is the inability to achieve a goal. Answer: ""failure""","""__"" est l'incapacité à atteindre un objectif. Réponse: ""échec""",失敗,失败,failure,échec,挫折,失利,frustration,défaite,فشل
"""準備""は、何かをするための準備です。答え: ""準備""","""准备""是为了做某事的准备。答案: ""准备""","""Preparation"" is getting ready for something. Answer: ""preparation""","""Préparation"" est se préparer pour quelque chose. Réponse: ""préparation""","""__""は、何かをするための準備です。答え: ""準備""","""__""是为了做某事的准备。答案: ""准备""","""__"" is getting ready for something. Answer: ""preparation""","""__"" est se préparer pour quelque chose. Réponse: ""préparation""",準備,准备,preparation,préparation,計画,预备,prepare,prépar,تحضير
"""社長""は、会社のトップです。答え: ""社長""","""社长""是一家公司的最高负责人。答案: ""社长""","""President"" is the top executive of a company. Answer: ""president""","""Président"" est le cadre supérieur d'une entreprise. Réponse: ""président""","""__""は、会社のトップです。答え: ""社長""","""__""是一家公司的最高负责人。答案: ""社长""","""__"" is the top executive of a company. Answer: ""president""","""__"" est le cadre supérieur d'une entreprise. Réponse: ""président""",社長,社长,president,président,ボス,总裁,CEO,directeur,رئيس
"""機会""は、何かをするためのチャンスです。答え: ""機会""","""机会""是做某事的机会。答案: ""机会""","""Opportunity"" is a chance to do something. Answer: ""opportunity""","""Opportunité"" est une chance de faire quelque chose. Réponse: ""opportunité""","""__""は、何かをするためのチャンスです。答え: ""機会""","""__""是做某事的机会。答案: ""机会""","""__"" is a chance to do something. Answer: ""opportunity""","""__"" est une chance de faire quelque chose. Réponse: ""opportunité""",機会,机会,opportunity,opportunité,チャンス,时机,chance,occasion,فرصة
"""戦争""は、国家間の武力紛争です。答え: ""戦争""","""战争""是国家之间的武装冲突。答案: ""战争""","""War"" is an armed conflict between nations. Answer: ""war""","""Guerre"" est un conflit armé entre nations. Réponse: ""guerre""","""__""は、国家間の武力紛争です。答え: ""戦争""","""__""是国家之间的武装冲突。答案: ""战争""","""__"" is an armed conflict between nations. Answer: ""war""","""__"" est un conflit armé entre nations. Réponse: ""guerre""",戦争,战争,war,guerre,戦い,冲突,battle,bataille,حرب
"""技術""は、科学や工学の応用です。答え: ""技術""","""技术""是科学和工程的应用。答案: ""技术""","""Technology"" is the application of science and engineering. Answer: ""technology""","""Technologie"" est l'application des sciences et de l'ingénierie. Réponse: ""technologie""","""__""は、科学や工学の応用です。答え: ""技術""","""__""是科学和工程的应用。答案: ""技术""","""__"" is the application of science and engineering. Answer: ""technology""","""__"" est l'application des sciences et de l'ingénierie. Réponse: ""technologie""",技術,技术,technology,technologie,テクノロジー,科技,engineering,ingénierie,تكنولوجيا
"""歴史""は、過去の出来事の記録です。答え: ""歴史""","""历史""是对过去事件的记录。答案: ""历史""","""History"" is the record of past events. Answer: ""history""","""Histoire"" est l'enregistrement des événements passés. Réponse: ""histoire""","""__""は、過去の出来事の記録です。答え: ""歴史""","""__""是对过去事件的记录。答案: ""历史""","""__"" is the record of past events. Answer: ""history""","""__"" est l'enregistrement des événements passés. Réponse: ""histoire""",歴史,历史,history,histoire,記憶,记录,archive,archives,تاريخ
"""小説""は、フィクションの物語です。答え: ""小説""","""小说""是虚构的故事。答案: ""小说""","""Novel"" is a work of fiction. Answer: ""novel""","""Roman"" est une œuvre de fiction. Réponse: ""roman""","""__""は、フィクションの物語です。答え: ""小説""","""__""是虚构的故事。答案: ""小说""","""__"" is a work of fiction. Answer: ""novel""","""__"" est une œuvre de fiction. Réponse: ""roman""",小説,小说,novel,roman,フィクション,故事,story,fiction,رواية
"""季節""は、一年の中の特定の時期です。答え: ""季節""","""季节""是一年中的特定时期。答案: ""季节""","""Season"" is a specific period of the year. Answer: ""season""","""Saison"" est une période spécifique de l'année. Réponse: ""saison""","""__""は、一年の中の特定の時期です。答え: ""季節""","""__""是一年中的特定时期。答案: ""季节""","""__"" is a specific period of the year. Answer: ""season""","""__"" est une période spécifique de l'année. Réponse: ""saison""",季節,季节,season,saison,シーズン,节日,holiday,mois,موسم
"""経済""は、資源の生産、分配、消費です。答え: ""経済""","""经济""是资源的生产、分配和消费。答案: ""经济""","""Economy"" is the production, distribution, and consumption of resources. Answer: ""economy""","""économie"" est la production, la distribution et la consommation des ressources. Réponse: ""économie""","""__""は、資源の生産、分配、消費です。答え: ""経済""","""__""是资源的生产、分配和消费。答案: ""经济""","""__"" is the production, distribution, and consumption of resources. Answer: ""economy""","""__"" est la production, la distribution et la consommation des ressources. Réponse: ""économie""",経済,经济,economy,économie,市場,分配,market,système,اقتصاد
"""出発""は、旅の始まりです。答え: ""出発""","""出发""是旅程的开始。答案: ""出发""","""Departure"" is the beginning of a journey. Answer: ""departure""","""Départ"" est le début d'un voyage. Réponse: ""départ""","""__""は、旅の始まりです。答え: ""出発""","""__""是旅程的开始。答案: ""出发""","""__"" is the beginning of a journey. Answer: ""departure""","""__"" est le début d'un voyage. Réponse: ""départ""",出発,出发,departure,départ,出発点,起点,start,partir,مغادرة
"""予約""は、事前に確保することです。答え: ""予約""","""预约""是事先确定。答案: ""预约""","""Reservation"" is securing something in advance. Answer: ""reservation""","""Réservation"" est sécuriser quelque chose à l'avance. Réponse: ""réservation""","""__""は、事前に確保することです。答え: ""予約""","""__""是事先确定。答案: ""预约""","""__"" is securing something in advance. Answer: ""reservation""","""__"" est sécuriser quelque chose à l'avance. Réponse: ""réservation""",予約,预约,reservation,réservation,前売り,预定,arrangement,prévoir,حجز
"""工場""は、物を製造する場所です。答え: ""工場""","""工厂""是制造物品的地方。答案: ""工厂""","""Factory"" is a place where goods are manufactured. Answer: ""factory""","""Usine"" est un endroit où les biens sont fabriqués. Réponse: ""usine""","""__""は、物を製造する場所です。答え: ""工場""","""__""是制造物品的地方。答案: ""工厂""","""__"" is a place where goods are manufactured. Answer: ""factory""","""__"" est un endroit où les biens sont fabriqués. Réponse: ""usine""",工場,工厂,factory,usine,工房,产地,plant,atelier,مصنع
"""部長""は、部署の責任者です。答え: ""部長""","""部长""是部门的负责人。答案: ""部长""","""Department head"" is the leader of a department. Answer: ""department head""","""Chef de département"" est le responsable d'un département. Réponse: ""chef de département""","""__""は、部署の責任者です。答え: ""部長""","""__""是部门的负责人。答案: ""部长""","""__"" is the leader of a department. Answer: ""department head""","""__"" est le responsable d'un département. Réponse: ""chef de département""",部長,部长,department head,chef de département,担当者,主管,manager,directeur,رئيس قسم
"""店員""は、店で働く人です。答え: ""店員""","""店员""是在店里工作的人。答案: ""店员""","""Clerk"" is a person working in a store. Answer: ""clerk""","""Employé"" est une personne travaillant dans un magasin. Réponse: ""employé""","""__""は、店で働く人です。答え: ""店員""","""__""是在店里工作的人。答案: ""店员""","""__"" is a person working in a store. Answer: ""clerk""","""__"" est une personne travaillant dans un magasin. Réponse: ""employé""",店員,店员,clerk,employé,従業員,员工,salesperson,vendeur,موظف
"""習慣""は、定期的に行う行動です。答え: ""習慣""","""习惯""是定期进行的行为。答案: ""习惯""","""Habit"" is a regular behavior. Answer: ""habit""","""Habitude"" est un comportement régulier. Réponse: ""habitude""","""__""は、定期的に行う行動です。答え: ""習慣""","""__""是定期进行的行为。答案: ""习惯""","""__"" is a regular behavior. Answer: ""habit""","""__"" est un comportement régulier. Réponse: ""habitude""",習慣,习惯,habit,habitude,点検,活动,routine,régime,عادة
"""複雑""は、理解するのが難しいことです。答え: ""複雑""","""复杂""是难以理解的事物。答案: ""复杂""","""Complex"" is something difficult to understand. Answer: ""complex""","""Complexe"" est quelque chose de difficile à comprendre. Réponse: ""complexe""","""__""は、理解するのが難しいことです。答え: ""複雑""","""__""是难以理解的事物。答案: ""复杂""","""__"" is something difficult to understand. Answer: ""complex""","""__"" est quelque chose de difficile à comprendre. Réponse: ""complexe""",複雑,复杂,complex,complexe,難解,神秘,complexity,mystère,معقد
"""台風""は、強い熱帯性の嵐です。答え: ""台風""","""台风""是强烈的热带风暴。答案: ""台风""","""Typhoon"" is a strong tropical storm. Answer: ""typhoon""","""Typhon"" est une forte tempête tropicale. Réponse: ""typhon""","""__""は、強い熱帯性の嵐です。答え: ""台風""","""__""是强烈的热带风暴。答案: ""台风""","""__"" is a strong tropical storm. Answer: ""typhoon""","""__"" est une forte tempête tropicale. Réponse: ""typhon""",台風,台风,typhoon,typhon,ハリケーン,风暴,hurricane,cyclone,إعصار
"""会場""は、イベントが行われる場所です。答え: ""会場""","""会场""是举办活动的地方。答案: ""会场""","""Venue"" is a place where events are held. Answer: ""venue""","""Lieu"" est un endroit où se tiennent des événements. Réponse: ""lieu""","""__""は、イベントが行われる場所です。答え: ""会場""","""__""是举办活动的地方。答案: ""会场""","""__"" is a place where events are held. Answer: ""venue""","""__"" est un endroit où se tiennent des événements. Réponse: ""lieu""",会場,会场,venue,lieu,ロケーション,场所,stadium,lieux,موقع
"""会議""は、人々が集まって話し合う場です。答え: ""会議""","""会议""是人们聚集讨论的场合。答案: ""会议""","""Meeting"" is a place where people gather to discuss. Answer: ""meeting""","""Réunion"" est un endroit où les gens se réunissent pour discuter. Réponse: ""réunion""","""__""は、人々が集まって話し合う場です。答え: ""会議""","""__""是人们聚集讨论的场合。答案: ""会议""","""__"" is a place where people gather to discuss. Answer: ""meeting""","""__"" est un endroit où les gens se réunissent pour discuter. Réponse: ""réunion""",会議,会议,meeting,réunion,集会,座谈,conference,forum,اجتماع
"""旅館""は、宿泊施設です。答え: ""旅館""","""旅馆""是提供住宿的地方。答案: ""旅馆""","""Inn"" is a place providing lodging. Answer: ""inn""","""Auberge"" est un endroit offrant de l'hébergement. Réponse: ""auberge""","""__""は、宿泊施設です。答え: ""旅館""","""__""是提供住宿的地方。答案: ""旅馆""","""__"" is a place providing lodging. Answer: ""inn""","""__"" est un endroit offrant de l'hébergement. Réponse: ""auberge""",旅館,旅馆,inn,auberge,ホテル,酒店,hotel,hôtel,نزل
"""発音""は、言葉の音の出し方です。答え: ""発音""","""发音""是语言声音的发出方式。答案: ""发音""","""Pronunciation"" is the way sounds are made in speech. Answer: ""pronunciation""","""Prononciation"" est la manière dont les sons sont produits dans la parole. Réponse: ""prononciation""","""__""は、言葉の音の出し方です。答え: ""発音""","""__""是语言声音的发出方式。答案: ""发音""","""__"" is the way sounds are made in speech. Answer: ""pronunciation""","""__"" est la manière dont les sons sont produits dans la parole. Réponse: ""prononciation""",発音,发音,pronunciation,prononciation,イントネーション,发声,voice,articulation,نطق
"""日記""は、個人の出来事を記録するものです。答え: ""日記""","""日记""是记录个人事件的东西。答案: ""日记""","""Diary"" is a record of personal events. Answer: ""diary""","""Journal"" est un enregistrement des événements personnels. Réponse: ""journal""","""__""は、個人の出来事を記録するものです。答え: ""日記""","""__""是记录个人事件的东西。答案: ""日记""","""__"" is a record of personal events. Answer: ""diary""","""__"" est un enregistrement des événements personnels. Réponse: ""journal""",日記,日记,diary,journal,記録,笔记,memoir,mémoire,يوميات
"""電灯""は、電気を使った照明です。答え: ""電灯""","""电灯""是使用电力的照明设备。答案: ""电灯""","""Electric light"" is illumination using electricity. Answer: ""electric light""","""Lumière électrique"" est l'éclairage utilisant l'électricité. Réponse: ""lumière électrique""","""__""は、電気を使った照明です。答え: ""電灯""","""__""是使用电力的照明设备。答案: ""电灯""","""__"" is illumination using electricity. Answer: ""electric light""","""__"" est l'éclairage utilisant l'électricité. Réponse: ""lumière électrique""",電灯,电灯,electric light,lumière électrique,ライト,灯,light,éclairage,ضوء كهربائي
"""翻訳""は、言語を他の言語に変換することです。答え: ""翻訳""","""翻译""是将一种语言转换为另一种语言。答案: ""翻译""","""Translation"" is converting language into another language. Answer: ""translation""","""Traduction"" est la conversion d'une langue en une autre. Réponse: ""traduction""","""__""は、言語を他の言語に変換することです。答え: ""翻訳""","""__""是将一种语言转换为另一种语言。答案: ""翻译""","""__"" is converting language into another language. Answer: ""translation""","""__"" est la conversion d'une langue en une autre. Réponse: ""traduction""",翻訳,翻译,translation,traduction,通訳,转译,translate,traduction,ترجمة
"""競争""は、勝ち負けを決めるための争いです。答え: ""競争""","""竞争""是为了决定胜负的争斗。答案: ""竞争""","""Competition"" is a contest to determine a winner. Answer: ""competition""","""Compétition"" est un concours pour déterminer un gagnant. Réponse: ""compétition""","""__""は、勝ち負けを決めるための争いです。答え: ""競争""","""__""是为了决定胜负的争斗。答案: ""竞争""","""__"" is a contest to determine a winner. Answer: ""competition""","""__"" est un concours pour déterminer un gagnant. Réponse: ""compétition""",競争,竞争,competition,compétition,試合,比赛,contest,concours,منافسة
"""産業""は、商品やサービスの生産活動です。答え: ""産業""","""产业""是商品和服务的生产活动。答案: ""产业""","""Industry"" is the production of goods and services. Answer: ""industry""","""Industrie"" est la production de biens et services. Réponse: ""industrie""","""__""は、商品やサービスの生産活動です。答え: ""産業""","""__""是商品和服务的生产活动。答案: ""产业""","""__"" is the production of goods and services. Answer: ""industry""","""__"" est la production de biens et services. Réponse: ""industrie""",産業,产业,industry,activité,生産,生产,production,produit,صناعة
"""工業""は、製品を作る産業です。答え: ""工業""","""工业""是制造产品的行业。答案: ""工业""","""Industry"" is the sector that produces goods. Answer: ""industry""","""Industrie"" est le secteur qui produit des biens. Réponse: ""industrie""","""__""は、製品を作る産業です。答え: ""工業""","""__""是制造产品的行业。答案: ""工业""","""__"" is the sector that produces goods. Answer: ""industry""","""__"" est le secteur qui produit des biens. Réponse: ""industrie""",製造業,制造业,manufacturing,industrie,工業,制造业,fabrication,secteur secondaire,تصنيع
